epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,292.334,1.36458,1.99782,0.5818,1.20455,0,0.98677,0.99187,0.9901,0.61665,0.97259,0.97725,0.98418,0.54376,1.34835,2.02196,0.53277,1.26812,0,0.0014654,0.0014654,0.0014654
29,302.721,1.351,1.98671,0.57,1.2056,0,0.98719,0.9943,0.99256,0.61247,0.97305,0.98006,0.98284,0.52714,1.37209,2.00298,0.52574,1.28119,0,0.0014456,0.0014456,0.0014456
30,312.39,1.43371,2.0582,0.61289,1.21716,0,0.98161,0.98481,0.99154,0.60465,0.97301,0.96961,0.98015,0.52941,1.35834,2.04059,0.55829,1.27985,0,0.0014258,0.0014258,0.0014258
31,321.908,1.36645,1.98521,0.58729,1.21565,0,0.98406,0.99145,0.99397,0.62661,0.9622,0.96698,0.97936,0.52117,1.3327,2.05407,0.51624,1.26426,0,0.001406,0.001406,0.001406
32,331.382,1.37968,2.00283,0.57707,1.21107,0,0.98489,0.99036,0.99091,0.61511,0.97167,0.97709,0.98544,0.53049,1.33993,2.01189,0.53724,1.26868,0,0.0013862,0.0013862,0.0013862
33,341.299,1.33661,1.94611,0.55903,1.19583,0,0.98769,0.99027,0.99295,0.62609,0.97035,0.96338,0.97956,0.54532,1.34162,2.07787,0.51952,1.26787,0,0.0013664,0.0013664,0.0013664
34,352.126,1.36633,1.97834,0.56371,1.21385,0,0.9896,0.99389,0.99293,0.61675,0.97911,0.97531,0.98785,0.53709,1.33706,1.97983,0.51733,1.25742,0,0.0013466,0.0013466,0.0013466
35,361.524,1.34251,1.96064,0.55696,1.1823,0,0.99146,0.99177,0.99304,0.61775,0.96962,0.96993,0.97924,0.53436,1.35456,2.03389,0.51043,1.27301,0,0.0013268,0.0013268,0.0013268
36,372.164,1.3561,1.97552,0.56209,1.20985,0,0.98911,0.9924,0.99098,0.63625,0.98009,0.97626,0.9875,0.56192,1.28797,1.97126,0.50834,1.23505,0,0.001307,0.001307,0.001307
37,383.231,1.32886,1.92192,0.55631,1.18594,0,0.9896,0.99403,0.99379,0.62705,0.97353,0.97782,0.98473,0.54772,1.33271,2.00796,0.51667,1.26421,0,0.0012872,0.0012872,0.0012872
38,393.243,1.30628,1.91592,0.54234,1.18899,0,0.99057,0.99335,0.99316,0.64333,0.9739,0.97626,0.98404,0.55136,1.29442,1.95941,0.48919,1.23994,0,0.0012674,0.0012674,0.0012674
39,402.931,1.33799,1.95037,0.55012,1.17835,0,0.98764,0.98621,0.99266,0.63126,0.97008,0.96771,0.9791,0.55726,1.32862,1.97574,0.49885,1.26011,0,0.0012476,0.0012476,0.0012476
