epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,353.874,1.36549,1.9852,0.57436,1.2127,0,0.20112,0.64286,0.24512,0.15599,0.1994,0.63736,0.23881,0.12826,1.35543,2.35776,5.10467,1.27814,0,0.0014654,0.0014654,0.0014654
29,366.262,1.36065,1.97486,0.57051,1.20794,0,0.19756,0.62088,0.26248,0.17446,0.18355,0.65934,0.25654,0.13669,1.28376,2.51037,5.58817,1.25495,0,0.0014456,0.0014456,0.0014456
30,378.532,1.37042,2.01701,0.56966,1.19995,0,0.21476,0.5989,0.22702,0.15059,0.21279,0.59341,0.22595,0.11526,1.30571,2.76757,4.79919,1.26376,0,0.0014258,0.0014258,0.0014258
31,390.782,1.36646,2.01391,0.58151,1.19994,0,0.23969,0.61147,0.25709,0.15763,0.23754,0.60598,0.25199,0.12875,1.38854,2.45465,5.23243,1.31297,0,0.001406,0.001406,0.001406
32,403.479,1.35984,1.9674,0.57175,1.22011,0,0.19201,0.64286,0.23105,0.14685,0.18849,0.64835,0.22563,0.11616,1.34296,2.5735,5.17461,1.27812,0,0.0013862,0.0013862,0.0013862
33,415.844,1.34658,1.94139,0.56259,1.17786,0,0.18825,0.59341,0.23807,0.15648,0.18651,0.58791,0.23307,0.12774,1.3169,2.38232,5.06011,1.26877,0,0.0013664,0.0013664,0.0013664
34,428.31,1.3394,1.95516,0.55253,1.19653,0,0.25889,0.65385,0.28543,0.17819,0.25107,0.65021,0.27876,0.14606,1.39751,2.43218,5.30935,1.31137,0,0.0013466,0.0013466,0.0013466
35,441.892,1.34185,1.96422,0.56266,1.18264,0,0.21697,0.65385,0.27607,0.18716,0.21514,0.64835,0.27125,0.1501,1.29758,2.4143,5.13045,1.25734,0,0.0013268,0.0013268,0.0013268
36,455.731,1.3438,1.95581,0.55913,1.19738,0,0.16801,0.7033,0.22141,0.14531,0.16463,0.7033,0.21856,0.11467,1.3303,2.59123,5.4337,1.27843,0,0.001307,0.001307,0.001307
37,468.11,1.35245,1.96467,0.56247,1.18738,0,0.16548,0.75824,0.21472,0.14017,0.16428,0.75275,0.21169,0.11337,1.31152,2.44057,5.09825,1.26378,0,0.0012872,0.0012872,0.0012872
38,480.29,1.33046,1.92746,0.54682,1.18278,0,0.21527,0.66321,0.25763,0.16846,0.21349,0.65771,0.25274,0.13997,1.33308,2.38877,5.06271,1.27542,0,0.0012674,0.0012674,0.0012674
39,492.78,1.32703,1.93113,0.54752,1.17468,0,0.18087,0.66484,0.22684,0.14572,0.17938,0.65934,0.22281,0.11718,1.34311,2.3537,5.4246,1.27937,0,0.0012476,0.0012476,0.0012476
40,505.217,1.33693,1.95172,0.55285,1.1974,0,0.2016,0.67582,0.24641,0.16033,0.19997,0.67033,0.24036,0.12943,1.32047,2.4309,4.95192,1.25962,0,0.0012278,0.0012278,0.0012278
